Stock Symbol,Buy,Overweight,Hold,Underweight,Sell
EFF,0,0,0,0,0
AUMB,0,0,0,0,0
ONE,1,0,0,0,0
TGIF,0,0,1,0,0
EPIC,0,0,0,0,0
JJJ.X,0,0,0,0,0
FFNT,3,0,0,0,0
VNP,3,2,0,0,0
JQ,0,0,0,0,0
AGF.B,2,0,5,0,0
AIS,0,0,0,0,0
AZ,1,0,0,0,0
AME,1,0,0,0,0
ABCT,0,0,2,0,1
ABI,0,0,0,0,0
ABM,0,0,0,0,0
AAB,0,0,0,0,0
ABRA,3,0,0,0,0
ADN,0,1,4,0,0
ABST,0,1,3,0,1
AXE,1,0,0,0,0
AKR,0,0,0,0,0
ACD,0,1,0,0,0
ARA,1,0,1,0,0
ACME,0,0,0,0,0
ILLM,6,0,1,0,0
ADZ,0,0,1,0,0
XTRX,0,0,0,0,0
ADCO,0,0,0,0,0
ADE,0,0,0,0,0
ADEN,5,1,1,0,0
DRX,1,0,0,0,0
ACT,0,0,0,0,0
APC.H,0,0,0,0,0
AALI,0,0,0,0,0
AUHI,0,0,0,0,0
AAV,10,2,2,0,0
ADX,1,0,0,0,0
ADZN,1,1,0,0,0
ARE,5,1,6,0,0
AEG,0,0,0,0,1
ADY,0,0,0,0,0
ATHR,0,0,0,0,0
AEZS,1,0,0,0,0
AQS,1,0,0,0,0
AFR,0,0,0,0,0
AOI,5,1,0,0,0
CUCO,0,0,0,0,0
AFN,8,2,0,0,0
AAG,0,0,0,0,0
AEM,16,3,2,0,0
AIM,2,0,0,0,0
AGRA,1,0,0,0,0
AIM.PRC,2,0,0,0,0
AIM.PRA,2,0,0,0,0
AIML,0,0,0,0,0
AION,0,0,0,0,0
AC,10,2,2,1,0
BOS,5,1,0,0,0
AKU,1,0,1,0,1
IQ,1,0,0,0,0
AKT.A,1,0,0,0,0
AML,0,0,0,0,0
AGI,5,0,7,0,0
AD.UT,4,1,1,0,0
AEMC,1,0,0,0,0
AKH.H,0,0,0,0,0
AMS,0,0,0,0,0
ALDE,1,0,0,0,0
AH,0,0,1,0,0
ALE,0,0,0,0,0
AGN,1,0,0,0,0
ALC,2,1,0,0,0
ASTL,2,1,2,0,0
ASTL.WT,2,1,2,0,0
AQN,3,1,9,0,1
AQN.PRD,3,1,9,0,1
AQN.PRA,3,1,9,0,1
ANZ,0,0,0,0,0
ATD,14,0,3,0,0
ALYA,4,1,3,0,0
AUAU,1,0,0,0,0
ALM,0,0,0,0,0
AP.UT,9,1,1,0,0
AKE,12,2,4,1,0
AMM,0,0,1,0,0
ALMA,0,0,0,0,0
DEX,0,0,0,0,0
AII,1,0,0,0,0
ALCU,0,0,0,0,0
AORO,0,0,0,0,0
AFM,1,0,0,0,0
ALPA,0,0,0,0,0
ATCU,0,0,0,0,1
NPA,0,0,0,0,0
ALA,13,2,1,0,0
ALA.PRB,13,2,1,0,0
ALA.PRA,13,2,1,0,0
ALA.PRH,13,2,1,0,0
ALA.PRG,13,2,1,0,0
ALA.PRE,13,2,1,0,0
ATI,0,0,0,0,0
AVX,0,0,0,0,0
ALTA,0,0,0,0,0
ARH,0,0,0,0,0
ALV,2,0,0,0,0
AMRQ,2,0,0,0,0
ACDX,0,0,0,0,0
LI,3,0,0,0,0
XYZ,1,0,0,0,0
ALY,0,0,0,0,0
ADW.B,1,0,0,0,0
AAU,0,0,1,0,0
ANK,0,0,0,0,0
GUS,0,0,0,0,0
ANTL,0,0,0,0,0
ANON,0,0,0,0,0
ATE,4,0,1,0,0
APGO,3,0,0,0,0
APX,1,0,0,0,0
APLV,1,0,0,0,0
API,1,0,0,0,0
APL,0,0,0,0,0
APLI,0,0,1,0,0
ASTI,0,0,0,0,0
APS,7,0,0,0,0
ARJN,0,0,0,0,0
ABR,0,0,0,0,0
ARCH,0,0,1,0,0
ARX,12,3,0,0,0
RCHR,0,0,0,0,0
ARC,0,0,0,0,0
AWX,0,0,0,0,0
ARS,1,0,0,0,0
ADD,0,0,0,0,0
ARTO,1,0,0,0,0
AREV,0,0,0,0,0
LIT,1,0,0,0,0
ARQ,0,0,0,0,0
AR,4,1,0,0,0
ART.WT,0,1,0,0,0
AMC,5,0,0,0,0
ARK,0,0,0,0,0
ARTG,6,1,1,0,0
AOT,2,0,1,0,0
ASND,2,1,0,0,0
ASEP,0,0,0,0,0
ASIA,0,0,0,0,0
SAT,0,0,0,0,0
BAY,0,0,0,0,0
ASTR,0,0,0,0,0
ATC,1,0,0,0,0
ACO.Y,5,0,3,0,0
ACO.X,5,0,3,0,0
ATCM,0,0,0,0,0
ATX,3,1,0,0,0
ATH,3,0,3,0,0
ATHA,0,0,0,0,0
AAT,0,0,0,0,0
ATY,2,0,0,0,0
ATL,0,0,0,0,0
AEP,1,1,0,0,0
SALT,0,0,0,0,0
ATOM,0,0,0,0,0
AAN,1,0,0,0,0
ATMO,1,0,0,0,0
TTO.H,0,0,0,0,0
AI,3,0,0,0,0
ATS,5,2,0,0,0
AUGC,0,0,0,0,0
ATW,0,0,0,0,0
G,1,0,0,0,0
AUQ,0,0,0,0,0
ORA,5,0,1,0,0
ARU,1,0,0,0,0
AU,3,0,0,0,0
AUR.H,0,0,0,0,0
ACB,0,0,3,0,0
ASG,1,0,0,0,0
ACU,0,0,0,0,0
AWR,0,0,0,0,0
ACR.H,0,0,0,0,0
AGLD,0,0,0,0,0
ACQ,3,1,5,0,0
AFCC.H,0,0,1,0,0
APR.UT,1,2,8,0,0
AUAG,1,0,0,0,0
XLY,0,0,2,0,0
AVNT,1,0,0,0,0
AVL,0,0,1,0,0
XX,0,0,0,0,1
AVA,0,0,0,0,0
AGC,0,0,0,0,0
AVN,1,1,0,0,0
AVN.WTA,1,1,0,0,0
AVM.X,0,0,0,0,0
AVCN,0,0,0,0,1
AVG,0,0,0,0,0
VIK,0,0,0,0,0
ASM,4,0,0,0,0
VIV,1,0,0,0,0
AVCR,0,0,0,0,0
AVU,0,0,0,0,0
ARIC,0,0,0,0,0
AXCP,0,0,0,0,0
AYA,5,2,0,0,0
AXM,1,0,0,0,0
AXIS,1,0,1,0,0
AYR.A,6,0,1,0,0
AZR,0,1,0,0,0
AYUR,1,0,0,0,0
AZM,1,0,0,0,0
AZT,0,0,0,0,0
AAZ,0,0,0,0,0
AMZ,0,0,0,0,0
BTO,11,2,2,0,0
BP,0,0,1,0,0
BAC,0,0,0,0,0
BDGI,2,1,4,0,1
BLDP,3,2,17,0,3
BMO,2,1,2,0,1
BMO.PRE,8,4,4,0,1
BMO.PRW,8,4,4,0,1
BMO.PRF,8,4,4,0,1
BMO.PRS,8,4,4,0,1
BMO.PRT,8,4,4,0,1
BMO.PRY,8,4,4,0,1
BNS,0,0,5,2,0
BYN,1,0,0,0,0
BNS.PRI,2,1,11,1,1
BRO,0,1,0,0,0
BGS,0,0,0,0,0
ABX,13,2,9,1,1
BME,0,0,1,0,0
BARU,0,0,1,0,0
NCLR,0,0,0,0,0
FIND,0,0,0,0,0
BMV,0,0,0,0,0
BAT,0,1,0,0,0
BMR,0,0,0,0,0
BLCO,9,0,5,0,0
BHS,1,0,0,0,0
BHC,2,0,6,1,0
BYL,0,0,2,0,0
BTE,4,0,6,0,0
BYM.H,0,0,0,0,0
BBTV,1,0,0,0,0
BCE,3,2,13,0,0
BCBC,0,0,0,0,0
BCE.PRE,3,2,13,0,0
BCE.PRB,3,2,13,0,0
BCE.PRH,3,2,13,0,0
BCE.PRM,3,2,13,0,0
BCE.PRJ,3,2,13,0,0
BCE.PRQ,3,2,13,0,0
BCE.PRA,3,2,13,0,0
BCE.PRN,3,2,13,0,0
BCE.PRL,3,2,13,0,0
BCE.PRD,3,2,13,0,0
BCE.PRG,3,2,13,0,0
BCE.PRF,3,2,13,0,0
BCE.PRI,3,2,13,0,0
BCE.PRK,3,2,13,0,0
BCE.PRC,3,2,13,0,0
BCE.PRR,3,2,13,0,0
BCE.PRT,3,2,13,0,0
BCE.PRS,3,2,13,0,0
BCE.PRY,3,2,13,0,0
B,0,0,0,0,0
BCE.PRZ,3,2,13,0,0
BGF,0,0,0,0,0
BCM,2,0,1,0,0
BEE,0,0,0,0,0
BLGV,0,0,0,0,1
BCU,1,0,0,0,0
BLU,2,0,5,0,0
BSX,1,0,0,0,0
BEA,0,0,0,0,0
BMET,0,0,0,0,0
BNN,0,0,0,0,0
BNCH,1,1,0,0,0
BNG,1,0,0,0,0
BEX,0,0,0,0,0
PLNT.X,1,0,0,0,0
BZ,0,0,0,0,0
BETR,1,0,0,0,0
BEW,1,0,0,0,0
DOCT,0,0,0,0,0
