Stock Symbol,Market Cap,P/E Ratio,EPS,Yield
ONE,$11.08 M,N/A,$-0.01,N/A
EFF,$2.79 M,N/A,$-0.01,N/A
AUMB,$7.84 M,N/A,$-0.17,N/A
TGIF,$9.08 M,N/A,$-0.04,N/A
EPIC,$167.03 M,N/A,$-0.03,N/A
JJJ.X,"$143,649",N/A,$-0.02,N/A
FFNT,$136.47 M,N/A,$-0.11,N/A
VNP,$296.79 M,N/A,$-0.24,N/A
SNR,$2.55 M,N/A,$0.00,N/A
JQ,$1.35 M,N/A,$-0.02,N/A
AGF.B,$460.93 M,6.75,$1.04,6.24%
AZ,$70.53 M,N/A,$-0.91,N/A
ABCT,$692.83 M,N/A,$-0.71,2.50%
ABM,$1.51 M,N/A,$-0.06,N/A
AAB,$5.07 M,N/A,$-0.09,N/A
ABRA,$170.56 M,N/A,$-0.04,N/A
ABST,$817.55 M,N/A,$-0.66,2.06%
ADN,$279.99 M,7.47,$2.19,7.08%
AXE,$26.47 M,N/A,$-0.05,N/A
ACD,$56.40 M,170.87,$0.04,4.92%
AKR,$8.10 M,N/A,$-0.02,N/A
ARA,$73.17 M,N/A,$-0.07,N/A
ACME,$19.92 M,N/A,$-0.07,N/A
ILLM,$132.36 M,"5,925.00",$0.00,N/A
ADZ,$7.79 M,N/A,$-0.01,N/A
XTRX,$24.63 M,N/A,$-0.08,N/A
ADCO,$14.20 M,N/A,$-0.04,N/A
ADEN,$647.30 M,5.65,$5.26,1.75%
ADE,$6.77 M,N/A,$0.00,N/A
DRX,$79.64 M,5.42,$0.46,0.81%
RABI,$1.90 M,N/A,$-0.03,N/A
ACT,$56.25 M,N/A,$-0.10,N/A
AALI,$2.92 M,N/A,$-0.05,N/A
AUHI,$2.86 M,N/A,$-0.07,N/A
APC.H,"$822,542",N/A,$-0.03,N/A
AAV,$1.30 B,4.19,$1.82,N/A
ADX,$1.27 M,N/A,$-0.01,N/A
ADZN,$54.07 M,N/A,$-0.04,N/A
ADY,$1.01 M,N/A,$-0.04,N/A
AQS,$3.32 M,N/A,$-0.02,N/A
AEZS,$19.42 M,N/A,$-6.69,N/A
ATHR,$3.33 M,N/A,$-0.02,N/A
AFR,"$631,354",N/A,$-0.04,N/A
AFE,$183.02 M,N/A,$-0.02,N/A
AOI,$1.21 B,N/A,$-0.26,2.38%
CUCO,$1.01 M,4.95,$0.01,N/A
AAG,$43.86 M,N/A,$-0.06,N/A
AFN,$1.02 B,N/A,$-2.67,1.12%
AEM,$36.12 B,10.56,$6.83,3.01%
AGRA,"$538,095",N/A,$-0.45,N/A
AIM,$313.09 M,0.78,$4.86,N/A
AIM.PRC,N/A,N/A,N/A,7.31%
AIM.PRA,N/A,N/A,N/A,6.43%
AIML,$4.04 M,N/A,$-0.05,N/A
AION,"$736,496",N/A,$-0.01,N/A
AC,$8.02 B,N/A,$-2.06,N/A
BOS,$199.67 M,N/A,$-1.92,5.42%
IQ,$8.08 M,11.46,$0.03,N/A
AKT.A,$53.79 M,3.10,$0.42,N/A
AKU,$47.06 M,N/A,$-2.38,N/A
ALBA.P,"$82,500",N/A,$-0.01,N/A
AGI,$6.77 B,54.13,$0.32,0.78%
AD.UT,$699.58 M,6.98,$2.23,8.72%
AEMC,$7.65 M,N/A,$-0.11,N/A
AKH.H,"$884,767",N/A,$0.00,N/A
ALDE,$86.29 M,N/A,$-0.01,N/A
AH,$18.14 M,N/A,$-0.27,N/A
ALE,$4.11 M,0.80,$0.06,N/A
AGN,$4.64 M,N/A,$-0.57,N/A
ALC,$581.89 M,5.26,$2.85,4.80%
ASTL,$1.04 B,3.51,$2.84,2.72%
ASTL.WT,N/A,N/A,N/A,N/A
AQN,$7.88 B,N/A,$-0.07,5.05%
AQN.PRD,N/A,N/A,N/A,6.66%
AQN.PRA,N/A,N/A,N/A,6.73%
ANZ,$3.97 M,N/A,$-0.01,N/A
ATD,$67.47 B,17.71,$3.70,0.86%
ALYA,$240.50 M,N/A,$-0.19,N/A
ALM,$1.48 M,N/A,$-0.06,N/A
AP.UT,$2.88 B,18.70,$1.22,7.90%
AKE,$8.95 B,14.05,$0.95,N/A
ALMA,"$782,374",N/A,$-0.06,N/A
AMM,$21.27 M,N/A,$-0.08,N/A
DEX,$18.21 M,9.93,$0.03,N/A
AII,$140.39 M,N/A,$-0.07,N/A
AORO,$2.21 M,N/A,$-0.01,N/A
ALCU,$11.22 M,N/A,$-0.18,N/A
ALEX,N/A,N/A,N/A,N/A
ALPA,$7.27 M,N/A,$-0.06,N/A
AFM,$1.02 B,10.72,$0.08,7.32%
NPA,$1.89 M,25.00,$0.00,N/A
ATCU,$36.32 M,N/A,$-0.04,N/A
ALA,$6.59 B,13.58,$1.71,4.81%
ALA.PRB,N/A,N/A,N/A,8.85%
ALA.PRH,N/A,N/A,N/A,10.03%
ALA.PRA,N/A,N/A,N/A,5.24%
ALA.PRE,N/A,N/A,N/A,6.84%
ALA.PRG,N/A,N/A,N/A,6.20%
ATI,$4.20 M,130.00,$0.00,N/A
AVX,"$805,674",N/A,$-0.04,N/A
ALTA,$27.84 M,N/A,$-0.01,N/A
ANE,"$835,746",N/A,$-0.03,N/A
AMO,$8.69 M,N/A,$-0.01,N/A
APN,$12.25 M,N/A,$-0.01,N/A
ALS,$1.05 B,34.76,$0.63,1.46%
ARR,$236.77 M,N/A,$-0.03,N/A
